Time,Name,X,Y,Force,Angle,Speed,SAngle
0.000000,Test,0.014142,0.014142,4.000000,45.000000,0.400000,45.000000
0.000000,Sim,11.879393,-1.531432,7.635196,0.000000,0.763520,0.000000
0.000000,Cannon,0.565685,25.516685,9.800000,180.000000,7.339820,50.417458

0.100000,Test,0.056569,0.056569,4.000000,45.000000,0.800000,45.000004
0.100000,Sim,11.879393,-1.416904,7.635196,0.000000,1.527039,0.000000
0.100000,Cannon,1.131371,25.935371,9.800000,180.000000,6.757716,56.834679

0.200000,Test,0.127279,0.127279,4.000000,45.000000,1.200000,45.000000
0.200000,Sim,11.879393,-1.226024,7.635196,0.000000,2.290559,0.000000
0.200000,Cannon,1.697056,26.256058,9.800000,180.000000,6.275452,64.346123

0.300000,Test,0.226274,0.226274,4.000000,45.000000,1.600000,45.000000
0.300000,Sim,11.879393,-0.958792,7.635196,0.000000,3.054079,0.000000
0.300000,Cannon,2.262742,26.478743,9.800000,180.000000,5.917488,72.931664

0.400000,Test,0.353553,0.353553,4.000000,45.000000,2.000000,45.000004
0.400000,Sim,11.879393,-0.615208,7.635196,0.000000,3.817598,0.000000
0.400000,Cannon,2.828427,26.603428,9.800000,180.000000,5.707262,82.379410

0.500000,Test,0.509117,0.509117,4.000000,45.000000,2.400000,45.000004
0.500000,Sim,11.879393,-0.195273,7.635196,0.000000,4.581118,0.000000
0.500000,Cannon,3.394113,26.630114,9.800000,180.000000,5.661254,92.258972

0.600000,Test,0.692965,0.692965,4.000000,45.000000,2.800000,45.000008
0.600000,Sim,11.879393,0.301015,7.635196,0.000000,5.344638,0.000000
0.600000,Cannon,3.959798,26.558800,9.800000,180.000000,5.783387,102.007210

0.700000,Test,0.905097,0.905097,4.000000,45.000000,3.200000,45.000008
0.700000,Sim,11.879393,0.873655,7.635196,0.000000,6.108158,0.000000
0.700000,Cannon,4.525484,26.389484,9.800000,180.000000,6.063508,111.103058

0.800000,Test,1.145513,1.145513,4.000000,45.000000,3.600000,45.000008
0.800000,Sim,11.879393,1.522647,7.635196,0.000000,6.871677,0.000000
0.800000,Cannon,5.091169,26.122169,9.800000,180.000000,6.481164,119.212631

0.900000,Test,1.414214,1.414213,4.000000,45.000000,4.000000,45.000008
0.900000,Sim,11.879393,2.247991,7.635196,0.000000,7.635197,0.000000
0.900000,Cannon,5.656854,25.756855,9.800000,180.000000,7.011823,126.219475

1.000000,Test,1.711199,1.711198,4.000000,45.000000,4.400000,45.000008
1.000000,Sim,11.879393,3.049686,7.635196,0.000000,8.398717,0.000000
1.000000,Cannon,6.222539,25.293541,9.800000,180.000000,7.631948,132.165649

1.100000,Test,2.036468,2.036467,4.000000,45.000000,4.800000,45.000008
1.100000,Sim,11.879393,3.927734,7.635196,0.000000,9.162236,0.000000
1.100000,Cannon,6.788225,24.732225,9.800000,180.000000,8.321562,137.173340

1.200000,Test,2.390021,2.390021,4.000000,45.000000,5.200000,45.000008
1.200000,Sim,11.879393,4.882134,7.635196,0.000000,9.925756,0.000000
1.200000,Cannon,7.353910,24.072910,9.800000,180.000000,9.064820,141.387894

1.300000,Test,2.771859,2.771858,4.000000,45.000000,5.600000,45.000011
1.300000,Sim,11.879393,5.912886,7.635196,0.000000,10.689275,0.000000
1.300000,Cannon,7.919595,23.315596,9.800000,180.000000,9.849586,144.947693

1.400000,Test,3.181981,3.181980,4.000000,45.000000,6.000000,45.000011
1.400000,Sim,11.879393,7.019989,7.635196,0.000000,11.452794,0.000000
1.400000,Cannon,8.485281,22.460281,9.800000,180.000000,10.666701,147.972366

