      Time       Name          X          Y      Force      Angle      Speed     SAngle
---------------------------------------------------------------------------------------
  0.000000       Test       0.01       0.01       4.00      45.00       0.40      45.00
  0.000000        Sim      24.99       0.01       4.00     315.00       0.40     315.00
  0.000000     Cannon       0.57      25.52       9.80     180.00       7.34      50.42

  0.100000       Test       0.06       0.06       4.00      45.00       0.80      45.00
  0.100000        Sim      24.94       0.06       4.00     315.00       0.80     315.00
  0.100000     Cannon       1.13      25.94       9.80     180.00       6.76      56.83

  0.200000       Test       0.13       0.13       4.00      45.00       1.20      45.00
  0.200000        Sim      24.87       0.13       4.00     315.00       1.20     315.00
  0.200000     Cannon       1.70      26.26       9.80     180.00       6.28      64.35

  0.300000       Test       0.23       0.23       4.00      45.00       1.60      45.00
  0.300000        Sim      24.77       0.23       4.00     315.00       1.60     315.00
  0.300000     Cannon       2.26      26.48       9.80     180.00       5.92      72.93

  0.400000       Test       0.35       0.35       4.00      45.00       2.00      45.00
  0.400000        Sim      24.65       0.35       4.00     315.00       2.00     315.00
  0.400000     Cannon       2.83      26.60       9.80     180.00       5.71      82.38

  0.500000       Test       0.51       0.51       4.00      45.00       2.40      45.00
  0.500000        Sim      24.49       0.51       4.00     315.00       2.40     315.00
  0.500000     Cannon       3.39      26.63       9.80     180.00       5.66      92.26

  0.600000       Test       0.69       0.69       4.00      45.00       2.80      45.00
  0.600000        Sim      24.31       0.69       4.00     315.00       2.80     315.00
  0.600000     Cannon       3.96      26.56       9.80     180.00       5.78     102.01

  0.700000       Test       0.91       0.91       4.00      45.00       3.20      45.00
  0.700000        Sim      24.09       0.91       4.00     315.00       3.20     315.00
  0.700000     Cannon       4.53      26.39       9.80     180.00       6.06     111.10

  0.800000       Test       1.15       1.15       4.00      45.00       3.60      45.00
  0.800000        Sim      23.85       1.15       4.00     315.00       3.60     315.00
  0.800000     Cannon       5.09      26.12       9.80     180.00       6.48     119.21

  0.900000       Test       1.41       1.41       4.00      45.00       4.00      45.00
  0.900000        Sim      23.59       1.41       4.00     315.00       4.00     315.00
  0.900000     Cannon       5.66      25.76       9.80     180.00       7.01     126.22

  1.000000       Test       1.71       1.71       4.00      45.00       4.40      45.00
  1.000000        Sim      23.29       1.71       4.00     315.00       4.40     315.00
  1.000000     Cannon       6.22      25.29       9.80     180.00       7.63     132.17

  1.100000       Test       2.04       2.04       4.00      45.00       4.80      45.00
  1.100000        Sim      22.96       2.04       4.00     315.00       4.80     315.00
  1.100000     Cannon       6.79      24.73       9.80     180.00       8.32     137.17

  1.200000       Test       2.39       2.39       4.00      45.00       5.20      45.00
  1.200000        Sim      22.61       2.39       4.00     315.00       5.20     315.00
  1.200000     Cannon       7.35      24.07       9.80     180.00       9.06     141.39

  1.300000       Test       2.77       2.77       4.00      45.00       5.60      45.00
  1.300000        Sim      22.23       2.77       4.00     315.00       5.60     315.00
  1.300000     Cannon       7.92      23.32       9.80     180.00       9.85     144.95

  1.400000       Test       3.18       3.18       4.00      45.00       6.00      45.00
  1.400000        Sim      21.82       3.18       4.00     315.00       6.00     315.00
  1.400000     Cannon       8.49      22.46       9.80     180.00      10.67     147.97

  1.500000       Test       3.62       3.62       4.00      45.00       6.40      45.00
  1.500000        Sim      21.38       3.62       4.00     315.00       6.40     315.00
  1.500000     Cannon       9.05      21.51       9.80     180.00      11.51     150.56

  1.600000       Test       4.09       4.09       4.00      45.00       6.80      45.00
  1.600000        Sim      20.91       4.09       4.00     315.00       6.80     315.00
  1.600000     Cannon       9.62      20.46       9.80     180.00      12.37     152.79

  1.700000       Test       4.58       4.58       4.00      45.00       7.20      45.00
  1.700000        Sim      20.42       4.58       4.00     315.00       7.20     315.00
  1.700000     Cannon      10.18      19.31       9.80     180.00      13.25     154.73

  1.800000       Test       5.11       5.11       4.00      45.00       7.60      45.00
  1.800000        Sim      19.89       5.11       4.00     315.00       7.60     315.00
  1.800000     Cannon      10.75      18.06       9.80     180.00      14.14     156.42

  1.900000       Test       5.66       5.66       4.00      45.00       8.00      45.00
  1.900000        Sim      19.34       5.66       4.00     315.00       8.00     315.00
  1.900000     Cannon      11.31      16.71       9.80     180.00      15.05     157.92

  2.000000       Test       6.24       6.24       4.00      45.00       8.40      45.00
  2.000000        Sim      18.76       6.24       4.00     315.00       8.40     315.00
  2.000000     Cannon      11.88      15.27       9.80     180.00      15.96     159.24

  2.100000       Test       6.84       6.84       4.00      45.00       8.80      45.00
  2.100000        Sim      18.16       6.84       4.00     315.00       8.80     315.00
  2.100000     Cannon      12.45      13.73       9.80     180.00      16.88     160.42

  2.200000       Test       7.48       7.48       4.00      45.00       9.20      45.00
  2.200000        Sim      17.52       7.48       4.00     315.00       9.20     315.00
  2.200000     Cannon      13.01      12.09       9.80     180.00      17.81     161.48

  2.300000       Test       8.15       8.15       4.00      45.00       9.60      45.00
  2.300000        Sim      16.85       8.15       4.00     315.00       9.60     315.00
  2.300000     Cannon      13.58      10.35       9.80     180.00      18.74     162.43

  2.400000       Test       8.84       8.84       4.00      45.00      10.00      45.00
  2.400000        Sim      16.16       8.84       4.00     315.00      10.00     315.00
  2.400000     Cannon      14.14       8.52       9.80     180.00      19.67     163.29

  2.500000       Test       9.56       9.56       4.00      45.00      10.40      45.00
  2.500000        Sim      15.44       9.56       4.00     315.00      10.40     315.00
  2.500000     Cannon      14.71       6.58       9.80     180.00      20.61     164.07

  2.600000       Test      10.31      10.31       4.00      45.00      10.80      45.00
  2.600000        Sim      14.69      10.31       4.00     315.00      10.80     315.00
  2.600000     Cannon      15.27       4.55       9.80     180.00      21.56     164.79

  2.700000       Test      11.09      11.09       4.00      45.00      11.20      45.00
  2.700000        Sim      13.91      11.09       4.00     315.00      11.20     315.00
  2.700000     Cannon      15.84       2.42       9.80     180.00      22.51     165.44

  2.800000       Test      11.89      11.89       4.00      45.00      11.60      45.00
  2.800000        Sim      13.11      11.89       4.00     315.00      11.60     315.00
  2.800000     Cannon      16.40       0.20       9.80     180.00      23.46     166.04

  2.900000       Test      12.56      12.89       5.66       0.00      16.52       0.00
  2.900000        Sim          -          -          -          -          -          -
  2.900000     Cannon      16.97      -2.13       9.80     180.00      24.41     166.60

  3.000000       Test      12.56      14.57       5.66       0.00      17.08       0.00
  3.000000        Sim          -          -          -          -          -          -
  3.000000     Cannon      17.54      -4.55       9.80     180.00      25.36     167.11

  3.100000       Test      12.56      16.30       5.66       0.00      17.65       0.00
  3.100000        Sim          -          -          -          -          -          -
  3.100000     Cannon      18.10      -7.07       9.80     180.00      26.32     167.59

  3.200000       Test      12.56      18.10       5.66       0.00      18.22       0.00
  3.200000        Sim          -          -          -          -          -          -
  3.200000     Cannon      18.67      -9.69       9.80     180.00      27.28     168.03

  3.300000       Test      12.56      19.95       5.66       0.00      18.78       0.00
  3.300000        Sim          -          -          -          -          -          -
  3.300000     Cannon      19.23     -12.41       9.80     180.00      28.24     168.44

  3.400000       Test      12.56      21.85       5.66       0.00      19.35       0.00
  3.400000        Sim          -          -          -          -          -          -
  3.400000     Cannon      19.80     -15.23       9.80     180.00      29.20     168.83

  3.500000       Test      12.56      23.82       5.66       0.00      19.91       0.00
  3.500000        Sim          -          -          -          -          -          -
