      Time       Name          X          Y      Force      Angle      Speed     SAngle
---------------------------------------------------------------------------------------
  0.000000       Test       0.01       0.01       4.00       0.79       0.40       0.79
  0.000000 Simulation      11.88      -1.78       9.80       3.14      18.33       0.00
  0.000000 Cannonball       0.57      25.52       9.80       3.14       7.34       0.88

  0.100000       Test       0.06       0.06       4.00       0.79       0.80       0.79
  0.100000 Simulation      11.88      -0.00       9.80       3.14      17.35       0.00
  0.100000 Cannonball       1.13      25.94       9.80       3.14       6.76       0.99

  0.200000       Test       0.13       0.13       4.00       0.79       1.20       0.79
  0.200000 Simulation      11.88       1.69       9.80       3.14      16.37       0.00
  0.200000 Cannonball       1.70      26.26       9.80       3.14       6.28       1.12

  0.300000       Test       0.23       0.23       4.00       0.79       1.60       0.79
  0.300000 Simulation      11.88       3.27       9.80       3.14      15.39       0.00
  0.300000 Cannonball       2.26      26.48       9.80       3.14       5.92       1.27

  0.400000       Test       0.35       0.35       4.00       0.79       2.00       0.79
  0.400000 Simulation      11.88       4.76       9.80       3.14      14.41       0.00
  0.400000 Cannonball       2.83      26.60       9.80       3.14       5.71       1.44

  0.500000       Test       0.51       0.51       4.00       0.79       2.40       0.79
  0.500000 Simulation      11.88       6.15       9.80       3.14      13.43       0.00
  0.500000 Cannonball       3.39      26.63       9.80       3.14       5.66       1.61

  0.600000       Test       0.69       0.69       4.00       0.79       2.80       0.79
  0.600000 Simulation      11.88       7.45       9.80       3.14      12.45       0.00
  0.600000 Cannonball       3.96      26.56       9.80       3.14       5.78       1.78

  0.700000       Test       0.91       0.91       4.00       0.79       3.20       0.79
  0.700000 Simulation      11.88       8.64       9.80       3.14      11.47       0.00
  0.700000 Cannonball       4.53      26.39       9.80       3.14       6.06       1.94

  0.800000       Test       1.15       1.15       4.00       0.79       3.60       0.79
  0.800000 Simulation      11.88       9.74       9.80       3.14      10.49       0.00
  0.800000 Cannonball       5.09      26.12       9.80       3.14       6.48       2.08

  0.900000       Test       1.41       1.41       4.00       0.79       4.00       0.79
  0.900000 Simulation      11.88      10.74       9.80       3.14       9.51       0.00
  0.900000 Cannonball       5.66      25.76       9.80       3.14       7.01       2.20

  1.000000       Test       1.71       1.71       4.00       0.79       4.40       0.79
  1.000000 Simulation      11.88      11.64       9.80       3.14       8.53       0.00
  1.000000 Cannonball       6.22      25.29       9.80       3.14       7.63       2.31

  1.100000       Test       2.04       2.04       4.00       0.79       4.80       0.79
  1.100000 Simulation      11.88      12.45       9.80       3.14       7.55       0.00
  1.100000 Cannonball       6.79      24.73       9.80       3.14       8.32       2.39

  1.200000       Test       2.39       2.39       4.00       0.79       5.20       0.79
  1.200000 Simulation      11.88      13.15       9.80       3.14       6.57       0.00
  1.200000 Cannonball       7.35      24.07       9.80       3.14       9.06       2.47

  1.300000       Test       2.77       2.77       4.00       0.79       5.60       0.79
  1.300000 Simulation      11.88      13.76       9.80       3.14       5.59       0.00
  1.300000 Cannonball       7.92      23.32       9.80       3.14       9.85       2.53

  1.400000       Test       3.18       3.18       4.00       0.79       6.00       0.79
  1.400000 Simulation      11.88      14.27       9.80       3.14       4.61       0.00
  1.400000 Cannonball       8.49      22.46       9.80       3.14      10.67       2.58

  1.500000       Test       3.62       3.62       4.00       0.79       6.40       0.79
  1.500000 Simulation      11.88      14.68       9.80       3.14       3.63       0.00
  1.500000 Cannonball       9.05      21.51       9.80       3.14      11.51       2.63

  1.600000       Test       4.09       4.09       4.00       0.79       6.80       0.79
  1.600000 Simulation      11.88      15.00       9.80       3.14       2.65       0.00
  1.600000 Cannonball       9.62      20.46       9.80       3.14      12.37       2.67

  1.700000       Test       4.58       4.58       4.00       0.79       7.20       0.79
  1.700000 Simulation      11.88      15.21       9.80       3.14       1.67       0.00
  1.700000 Cannonball      10.18      19.31       9.80       3.14      13.25       2.70

  1.800000       Test       5.11       5.11       4.00       0.79       7.60       0.79
  1.800000 Simulation      11.88      15.33       9.80       3.14       0.69       0.00
  1.800000 Cannonball      10.75      18.06       9.80       3.14      14.14       2.73

  1.900000       Test       5.66       5.66       4.00       0.79       8.00       0.79
  1.900000 Simulation      11.88      15.35       9.80       3.14       0.29       3.14
  1.900000 Cannonball      11.31      16.71       9.80       3.14      15.05       2.76

  2.000000       Test       6.24       6.24       4.00       0.79       8.40       0.79
  2.000000 Simulation      11.88      15.27      19.60       0.00      15.32       2.76
  2.000000 Cannonball          -          -          -          -          -          -

  2.100000       Test       6.84       6.84       4.00       0.79       8.80       0.79
  2.100000 Simulation      12.45      13.94      19.60       0.00      13.52       2.71
  2.100000 Cannonball          -          -          -          -          -          -

  2.200000       Test       7.48       7.48       4.00       0.79       9.20       0.79
  2.200000 Simulation      13.01      12.82      19.60       0.00      11.77       2.64
  2.200000 Cannonball          -          -          -          -          -          -

  2.300000       Test       8.15       8.15       4.00       0.79       9.60       0.79
  2.300000 Simulation      13.58      11.88      19.60       0.00      10.09       2.55
  2.300000 Cannonball          -          -          -          -          -          -

  2.400000       Test       8.84       8.84       4.00       0.79      10.00       0.79
  2.400000 Simulation      14.14      11.14      19.60       0.00       8.54       2.42
  2.400000 Cannonball          -          -          -          -          -          -

  2.500000       Test       9.56       9.56       4.00       0.79      10.40       0.79
  2.500000 Simulation      14.71      10.60      19.60       0.00       7.19       2.24
  2.500000 Cannonball          -          -          -          -          -          -

  2.600000       Test      10.31      10.31       4.00       0.79      10.80       0.79
  2.600000 Simulation      15.27      10.26      19.60       0.00       6.18       1.98
  2.600000 Cannonball          -          -          -          -          -          -

