Time,Name,X,Y,Force,Accel,Angle,Speed,SAngle,Mass,Radius
0.000000,Cannon,1.390577,4.279754,0.000000,2.668E-16,45.000004,45.000000,18.000002,10, 20
0.000000,Earth,50.000000,50.000000,0.000000,2.668E-17,225.000000,0.000000,225.000000,100, 5
0.100000,Cannon,2.781153,8.559508,0.000000,3.3634E-16,46.754337,45.000000,18.000002,10, 20
0.100000,Earth,50.000000,50.000000,0.000000,3.3634E-17,226.754333,0.000000,225.978302,100, 5
0.200000,Cannon,4.171730,12.839262,0.000000,4.2816E-16,48.728966,45.000000,18.000002,10, 20
0.200000,Earth,50.000000,50.000000,0.000000,4.2816E-17,228.728973,0.000000,227.120331,100, 5
0.300000,Cannon,5.562307,17.119017,0.000000,5.50402E-16,50.962467,45.000000,18.000002,10, 20
0.300000,Earth,50.000000,50.000000,0.000000,5.50402E-17,230.962463,0.000000,228.457428,100, 5
0.400000,Cannon,6.952884,21.398771,0.000000,7.14261E-16,53.500984,45.000000,18.000002,10, 20
0.400000,Earth,50.000000,50.000000,0.000000,7.14261E-17,233.500977,0.000000,230.026718,100, 5
0.500000,Cannon,8.343460,25.678526,0.000000,9.34869E-16,56.399269,45.000000,18.000002,10, 20
0.500000,Earth,50.000000,50.000000,0.000000,9.34869E-17,236.399261,0.000000,231.871277,100, 5
0.600000,Cannon,9.734036,29.958281,0.000000,1.23199E-15,59.721172,45.000000,18.000002,10, 20
0.600000,Earth,50.000000,50.000000,0.000000,1.23199E-16,239.721176,0.000000,234.039581,100, 5
0.700000,Cannon,11.124613,34.238033,0.000000,1.62977E-15,63.538933,45.000000,18.000002,10, 20
0.700000,Earth,50.000000,50.000000,0.000000,1.62977E-16,243.538940,0.000000,236.583191,100, 5
0.800000,Cannon,12.515189,38.517788,0.000000,2.15393E-15,67.929977,45.000000,18.000002,10, 20
0.800000,Earth,50.000000,50.000000,0.000000,2.15393E-16,247.929977,0.000000,239.551544,100, 5
0.900000,Cannon,13.905766,42.797543,0.000000,2.82361E-15,72.969315,45.000000,18.000002,10, 20
0.900000,Earth,50.000000,50.000000,0.000000,2.82361E-16,252.969315,0.000000,242.982132,100, 5
1.000000,Cannon,15.296342,47.077297,0.000000,3.63462E-15,78.715088,45.000000,18.000002,10, 20
1.000000,Earth,50.000000,50.000000,0.000000,3.63462E-16,258.715088,0.000000,246.884384,100, 5
1.100000,Cannon,16.686918,51.357052,0.000000,4.53404E-15,85.185974,45.000000,18.000002,10, 20
1.100000,Earth,50.000000,50.000000,0.000000,4.53404E-16,265.185974,0.000000,251.218414,100, 5
1.200000,Cannon,18.077496,55.636806,0.000000,5.39792E-15,92.332726,45.000000,18.000002,10, 20
1.200000,Earth,50.000000,50.000000,0.000000,5.39792E-16,272.332733,0.000000,255.874420,100, 5
1.300000,Cannon,19.468073,59.916561,0.000000,6.04045E-15,100.013939,45.000000,18.000002,10, 20
1.300000,Earth,50.000000,50.000000,0.000000,6.04045E-16,280.013947,0.000000,260.666473,100, 5
1.400000,Cannon,20.858650,64.196312,0.000000,6.28057E-15,107.993439,45.000000,18.000002,10, 20
1.400000,Earth,50.000000,50.000000,0.000000,6.28057E-16,287.993439,0.000000,265.355713,100, 5
1.500000,Cannon,22.249228,68.476067,0.000000,6.04121E-15,115.973190,45.000000,18.000002,10, 20
1.500000,Earth,50.000000,50.000000,0.000000,6.04121E-16,295.973206,0.000000,269.703674,100, 5
1.600000,Cannon,23.639805,72.755821,0.000000,5.39921E-15,123.655106,45.000000,18.000002,10, 20
1.600000,Earth,50.000000,50.000000,0.000000,5.39921E-16,303.655121,0.000000,273.531952,100, 5
1.700000,Cannon,25.030382,77.035576,0.000000,4.53553E-15,130.802872,45.000000,18.000002,10, 20
1.700000,Earth,50.000000,50.000000,0.000000,4.53553E-16,310.802887,0.000000,276.755188,100, 5
1.800000,Cannon,26.420959,81.315331,0.000000,3.63605E-15,137.274933,45.000000,18.000002,10, 20
1.800000,Earth,50.000000,50.000000,0.000000,3.63605E-16,317.274933,0.000000,279.375793,100, 5
1.900000,Cannon,27.811537,85.595085,0.000000,2.82483E-15,143.021896,45.000000,18.000002,10, 20
1.900000,Earth,50.000000,50.000000,0.000000,2.82483E-16,323.021881,0.000000,281.454681,100, 5
