      Time       Name          X          Y      Force      Accel      Angle      Speed     SAngle       Mass     Radius
########################################################################################################################
         0      Earth          0    3.3E-15    3.9E+12    6.5E-13          0    6.5E-14          0      6E+24    6.4e+03
         0        ISS    7.7E+02   -3.6E+04    3.9E+12    8.6E+06    1.8E+02    8.6E+05    1.8E+02    4.5E+05       0.11
       0.1      Earth    2.4E-18    9.6E-15    1.4E+11    2.3E-14    1.8E+02    6.3E-14      0.044      6E+24    6.4e+03
       0.1        ISS    1.5E+03   -1.2E+05    1.4E+11      3E+05    3.6E+02    8.3E+05    1.8E+02    4.5E+05       0.11
       0.2      Earth    7.3E-18    1.6E-14    1.2E+10      2E-15    1.8E+02    6.3E-14      0.046      6E+24    6.4e+03
       0.2        ISS    2.2E+03     -2E+05    1.2E+10    2.7E+04    3.6E+02    8.3E+05    1.8E+02    4.5E+05       0.11
       0.3      Earth    1.2E-17    2.2E-14    4.3E+09    7.2E-16    1.8E+02    6.3E-14      0.047      6E+24    6.4e+03
       0.3        ISS    2.9E+03   -2.9E+05    4.3E+09    9.5E+03    3.6E+02    8.3E+05    1.8E+02    4.5E+05       0.11
       0.4      Earth    1.8E-17    2.8E-14    2.2E+09    3.6E-16    1.8E+02    6.2E-14      0.048      6E+24    6.4e+03
       0.4        ISS    3.7E+03   -3.7E+05    2.2E+09    4.8E+03    3.6E+02    8.3E+05    1.8E+02    4.5E+05       0.11
       0.5      Earth    2.3E-17    3.5E-14    1.3E+09    2.2E-16    1.8E+02    6.2E-14      0.048      6E+24    6.4e+03
       0.5        ISS    4.4E+03   -4.5E+05    1.3E+09    2.9E+03    3.6E+02    8.3E+05    1.8E+02    4.5E+05       0.11
       0.6      Earth    2.8E-17    4.1E-14    8.7E+08    1.5E-16    1.8E+02    6.2E-14      0.048      6E+24    6.4e+03
       0.6        ISS    5.1E+03   -5.4E+05    8.7E+08    1.9E+03    3.6E+02    8.3E+05    1.8E+02    4.5E+05       0.11
       0.7      Earth    3.3E-17    4.7E-14    6.2E+08      1E-16    1.8E+02    6.2E-14      0.048      6E+24    6.4e+03
       0.7        ISS    5.8E+03   -6.2E+05    6.2E+08    1.4E+03    3.6E+02    8.3E+05    1.8E+02    4.5E+05       0.11
