      Time       Name          X          Y      Force      force      Angle      Speed     SAngle       Mass     Radius
########################################################################################################################
         0     Cannon        1.4        4.3    2.7E-15    2.7E-16       0.79         45       0.31         10         20
         0      Earth         50         50    2.7E-15    2.7E-17        3.9    2.7E-18        3.9      1E+02          5
       0.1     Cannon        2.8        8.6    3.4E-15    3.4E-16       0.82         45       0.31         10         20
       0.1      Earth         50         50    3.4E-15    3.4E-17          4      6E-18        3.9      1E+02          5
       0.2     Cannon        4.2         13    4.3E-15    4.3E-16       0.85         45       0.31         10         20
       0.2      Earth         50         50    4.3E-15    4.3E-17          4      1E-17          4      1E+02          5
       0.3     Cannon        5.6         17    5.5E-15    5.5E-16       0.89         45       0.31         10         20
       0.3      Earth         50         50    5.5E-15    5.5E-17          4    1.6E-17          4      1E+02          5
       0.4     Cannon          7         21    7.1E-15    7.1E-16       0.93         45       0.31         10         20
       0.4      Earth         50         50    7.1E-15    7.1E-17        4.1    2.3E-17          4      1E+02          5
       0.5     Cannon        8.3         26    9.3E-15    9.3E-16       0.98         45       0.31         10         20
       0.5      Earth         50         50    9.3E-15    9.3E-17        4.1    3.2E-17          4      1E+02          5
       0.6     Cannon        9.7         30    1.2E-14    1.2E-15          1         45       0.31         10         20
       0.6      Earth         50         50    1.2E-14    1.2E-16        4.2    4.4E-17        4.1      1E+02          5
       0.7     Cannon         11         34    1.6E-14    1.6E-15        1.1         45       0.31         10         20
       0.7      Earth         50         50    1.6E-14    1.6E-16        4.3    6.1E-17        4.1      1E+02          5
       0.8     Cannon         13         39    2.2E-14    2.2E-15        1.2         45       0.31         10         20
       0.8      Earth         50         50    2.2E-14    2.2E-16        4.3    8.2E-17        4.2      1E+02          5
       0.9     Cannon         14         43    2.8E-14    2.8E-15        1.3         45       0.31         10         20
       0.9      Earth         50         50    2.8E-14    2.8E-16        4.4    1.1E-16        4.2      1E+02          5
         1     Cannon         15         47    3.6E-14    3.6E-15        1.4         45       0.31         10         20
         1      Earth         50         50    3.6E-14    3.6E-16        4.5    1.4E-16        4.3      1E+02          5
       1.1     Cannon         17         51    4.5E-14    4.5E-15        1.5         45       0.31         10         20
       1.1      Earth         50         50    4.5E-14    4.5E-16        4.6    1.9E-16        4.4      1E+02          5
       1.2     Cannon         18         56    5.4E-14    5.4E-15        1.6         45       0.31         10         20
       1.2      Earth         50         50    5.4E-14    5.4E-16        4.8    2.4E-16        4.5      1E+02          5
       1.3     Cannon         19         60      6E-14      6E-15        1.7         45       0.31         10         20
       1.3      Earth         50         50      6E-14      6E-16        4.9      3E-16        4.5      1E+02          5
       1.4     Cannon         21         64    6.3E-14    6.3E-15        1.9         45       0.31         10         20
       1.4      Earth         50         50    6.3E-14    6.3E-16          5    3.5E-16        4.6      1E+02          5
       1.5     Cannon         22         68      6E-14      6E-15          2         45       0.31         10         20
       1.5      Earth         50         50      6E-14      6E-16        5.2    4.1E-16        4.7      1E+02          5
       1.6     Cannon         24         73    5.4E-14    5.4E-15        2.2         45       0.31         10         20
       1.6      Earth         50         50    5.4E-14    5.4E-16        5.3    4.5E-16        4.8      1E+02          5
       1.7     Cannon         25         77    4.5E-14    4.5E-15        2.3         45       0.31         10         20
       1.7      Earth         50         50    4.5E-14    4.5E-16        5.4    4.9E-16        4.8      1E+02          5
       1.8     Cannon         26         81    3.6E-14    3.6E-15        2.4         45       0.31         10         20
