Time,Name,X,Y,Force,Angle,Speed,SAngle
0.000000,Cannon,43.139481,23.428400,12.000000,0.785398,45.106953,0.315367
0.000000,Earth,0.000000,0.000000,0.000000,1.079633,0.000000,1.079633

0.010000,Cannon,43.279812,23.857649,12.000000,0.785398,45.213970,0.316569
0.010000,Earth,0.000000,0.000000,0.000000,1.073278,0.000000,1.076498

0.020000,Cannon,43.420990,24.287746,12.000000,0.785398,45.321056,0.317766
0.020000,Earth,0.000000,0.000000,0.000000,1.067000,0.000000,1.073416

0.030000,Cannon,43.563019,24.718691,12.000000,0.785398,45.428207,0.318956
0.030000,Earth,0.000000,0.000000,0.000000,1.060799,0.000000,1.070387

0.040000,Cannon,43.705894,25.150484,12.000000,0.785398,45.535423,0.320141
0.040000,Earth,0.000000,0.000000,0.000000,1.054675,0.000000,1.067411

0.050000,Cannon,43.849621,25.583126,12.000000,0.785398,45.642704,0.321321
0.050000,Earth,0.000000,0.000000,0.000000,1.048625,0.000000,1.064486

0.060000,Cannon,43.994194,26.016617,12.000000,0.785398,45.750042,0.322495
0.060000,Earth,0.000000,0.000000,0.000000,1.042651,0.000000,1.061612

0.070000,Cannon,44.139614,26.450956,12.000000,0.785398,45.857449,0.323663
0.070000,Earth,0.000000,0.000000,0.000000,1.036750,0.000000,1.058789

0.080000,Cannon,44.285885,26.886145,12.000000,0.785398,45.964912,0.324827
0.080000,Earth,0.000000,0.000000,0.000000,1.030924,0.000000,1.056016

0.090000,Cannon,44.433002,27.322182,12.000000,0.785398,46.072441,0.325984
0.090000,Earth,0.000000,0.000000,0.000000,1.025170,0.000000,1.053293

0.100000,Cannon,44.580971,27.759068,12.000000,0.785398,46.180031,0.327136
0.100000,Earth,0.000000,0.000000,0.000000,1.019488,0.000000,1.050617

0.110000,Cannon,44.729786,28.196800,12.000000,0.785398,46.287682,0.328283
0.110000,Earth,0.000000,0.000000,0.000000,1.013877,0.000000,1.047990

0.120000,Cannon,44.879452,28.635382,12.000000,0.785398,46.395393,0.329425
0.120000,Earth,0.000000,0.000000,0.000000,1.008337,0.000000,1.045411

0.130000,Cannon,45.029964,29.074812,12.000000,0.785398,46.503166,0.330561
0.130000,Earth,0.000000,0.000000,0.000000,1.002867,0.000000,1.042877

0.140000,Cannon,45.181324,29.515091,12.000000,0.785398,46.610996,0.331692
0.140000,Earth,0.000000,0.000000,0.000000,0.997466,0.000000,1.040390

0.150000,Cannon,45.333534,29.956219,12.000000,0.785398,46.718887,0.332818
0.150000,Earth,0.000000,0.000000,0.000000,0.992134,0.000000,1.037949

0.160000,Cannon,45.486591,30.398195,12.000000,0.785398,46.826836,0.333939
0.160000,Earth,0.000000,0.000000,0.000000,0.986869,0.000000,1.035552

0.170000,Cannon,45.640499,30.841021,12.000000,0.785398,46.934845,0.335054
0.170000,Earth,0.000000,0.000000,0.000000,0.981671,0.000000,1.033199

0.180000,Cannon,45.795254,31.284695,12.000000,0.785398,47.042912,0.336164
0.180000,Earth,0.000000,0.000000,0.000000,0.976540,0.000000,1.030890

0.190000,Cannon,45.950859,31.729218,12.000000,0.785398,47.151035,0.337270
0.190000,Earth,0.000000,0.000000,0.000000,0.971474,0.000000,1.028624

0.200000,Cannon,46.107311,32.174587,12.000000,0.785398,47.259216,0.338370
0.200000,Earth,0.000000,0.000000,0.000000,0.966473,0.000000,1.026399

0.210000,Cannon,46.264614,32.620808,12.000000,0.785398,47.367451,0.339465
0.210000,Earth,0.000000,0.000000,0.000000,0.961535,0.000000,1.024216

0.220000,Cannon,46.422764,33.067875,12.000000,0.785398,47.475742,0.340555
0.220000,Earth,0.000000,0.000000,0.000000,0.956661,0.000000,1.022074

0.230000,Cannon,46.581760,33.515793,12.000000,0.785398,47.584095,0.341640
0.230000,Earth,0.000000,0.000000,0.000000,0.951850,0.000000,1.019972

0.240000,Cannon,46.741608,33.964558,12.000000,0.785398,47.692501,0.342721
0.240000,Earth,0.000000,0.000000,0.000000,0.947100,0.000000,1.017910

0.250000,Cannon,46.902302,34.414169,12.000000,0.785398,47.800964,0.343796
0.250000,Earth,0.000000,0.000000,0.000000,0.942411,0.000000,1.015887

0.260000,Cannon,47.063847,34.864632,12.000000,0.785398,47.909477,0.344866
0.260000,Earth,0.000000,0.000000,0.000000,0.937782,0.000000,1.013901

0.270000,Cannon,47.226238,35.315941,12.000000,0.785398,48.018051,0.345932
0.270000,Earth,0.000000,0.000000,0.000000,0.933213,0.000000,1.011954

0.280000,Cannon,47.389481,35.768101,12.000000,0.785398,48.126678,0.346993
0.280000,Earth,0.000000,0.000000,0.000000,0.928703,0.000000,1.010043

0.290000,Cannon,47.553570,36.221107,12.000000,0.785398,48.235359,0.348049
0.290000,Earth,0.000000,0.000000,0.000000,0.924250,0.000000,1.008169

0.300000,Cannon,47.718506,36.674965,12.000000,0.785398,48.344093,0.349100
0.300000,Earth,0.000000,0.000000,0.000000,0.919855,0.000000,1.006331

0.310000,Cannon,47.884293,37.129669,12.000000,0.785398,48.452881,0.350147
0.310000,Earth,0.000000,0.000000,0.000000,0.915517,0.000000,1.004527

0.320000,Cannon,48.050926,37.585220,12.000000,0.785398,48.561722,0.351189
0.320000,Earth,0.000000,0.000000,0.000000,0.911234,0.000000,1.002758

0.330000,Cannon,48.218410,38.041622,12.000000,0.785398,48.670612,0.352226
0.330000,Earth,0.000000,0.000000,0.000000,0.907006,0.000000,1.001024

0.340000,Cannon,48.386742,38.498871,12.000000,0.785398,48.779560,0.353258
0.340000,Earth,0.000000,0.000000,0.000000,0.902833,0.000000,0.999322

0.350000,Cannon,48.555923,38.956970,12.000000,0.785398,48.888557,0.354286
0.350000,Earth,0.000000,0.000000,0.000000,0.898714,0.000000,0.997653

0.360000,Cannon,48.725952,39.415916,12.000000,0.785398,48.997604,0.355310
0.360000,Earth,0.000000,0.000000,0.000000,0.894648,0.000000,0.996016

0.370000,Cannon,48.896832,39.875713,12.000000,0.785398,49.106701,0.356329
0.370000,Earth,0.000000,0.000000,0.000000,0.890634,0.000000,0.994411

0.380000,Cannon,49.068558,40.336357,12.000000,0.785398,49.215847,0.357343
0.380000,Earth,0.000000,0.000000,0.000000,0.886671,0.000000,0.992837

0.390000,Cannon,49.241131,40.797852,12.000000,0.785398,49.325047,0.358353
0.390000,Earth,0.000000,0.000000,0.000000,0.882760,0.000000,0.991293

0.400000,Cannon,49.414555,41.260193,12.000000,0.785398,49.434296,0.359358
0.400000,Earth,0.000000,0.000000,0.000000,0.878898,0.000000,0.989779

0.410000,Cannon,49.588825,41.723381,12.000000,0.785398,49.543594,0.360359
0.410000,Earth,0.000000,0.000000,0.000000,0.875087,0.000000,0.988295

0.420000,Cannon,49.763947,42.187420,12.000000,0.785398,49.652943,0.361356
0.420000,Earth,0.000000,0.000000,0.000000,0.871324,0.000000,0.986839

0.430000,Cannon,49.939915,42.652306,12.000000,0.785398,49.762337,0.362348
0.430000,Earth,0.000000,0.000000,0.000000,0.867610,0.000000,0.985412

0.440000,Cannon,50.116734,43.118042,12.000000,0.785398,49.871780,0.363336
0.440000,Earth,0.000000,0.000000,0.000000,0.863943,0.000000,0.984012

0.450000,Cannon,50.294399,43.584625,12.000000,0.785398,49.981277,0.364319
0.450000,Earth,0.000000,0.000000,0.000000,0.860323,0.000000,0.982639

0.460000,Cannon,50.472912,44.052059,12.000000,0.785398,50.090816,0.365298
0.460000,Earth,0.000000,0.000000,0.000000,0.856749,0.000000,0.981293

0.470000,Cannon,50.652275,44.520340,12.000000,0.785398,50.200405,0.366273
0.470000,Earth,0.000000,0.000000,0.000000,0.853222,0.000000,0.979974

0.480000,Cannon,50.832485,44.989471,12.000000,0.785398,50.310043,0.367244
0.480000,Earth,0.000000,0.000000,0.000000,0.849739,0.000000,0.978680

0.490000,Cannon,51.013546,45.459450,12.000000,0.785398,50.419731,0.368210
0.490000,Earth,0.000000,0.000000,0.000000,0.846301,0.000000,0.977411

0.500000,Cannon,51.195454,45.930275,12.000000,0.785398,50.529465,0.369173
0.500000,Earth,0.000000,0.000000,0.000000,0.842906,0.000000,0.976167

0.510000,Cannon,51.378212,46.401951,12.000000,0.785398,50.639244,0.370131
0.510000,Earth,0.000000,0.000000,0.000000,0.839555,0.000000,0.974947

0.520000,Cannon,51.561817,46.874474,12.000000,0.785398,50.749069,0.371085
0.520000,Earth,0.000000,0.000000,0.000000,0.836247,0.000000,0.973751

0.530000,Cannon,51.746269,47.347847,12.000000,0.785398,50.858940,0.372035
0.530000,Earth,0.000000,0.000000,0.000000,0.832980,0.000000,0.972579

0.540000,Cannon,51.931572,47.822067,12.000000,0.785398,50.968857,0.372980
0.540000,Earth,0.000000,0.000000,0.000000,0.829755,0.000000,0.971429

0.550000,Cannon,52.117722,48.297138,12.000000,0.785398,51.078819,0.373922
0.550000,Earth,0.000000,0.000000,0.000000,0.826571,0.000000,0.970302

0.560000,Cannon,52.304722,48.773056,12.000000,0.785398,51.188828,0.374859
0.560000,Earth,0.000000,0.000000,0.000000,0.823428,0.000000,0.969196

0.570000,Cannon,52.492569,49.249821,12.000000,0.785398,51.298878,0.375793
0.570000,Earth,0.000000,0.000000,0.000000,0.820324,0.000000,0.968113

0.580000,Cannon,52.681267,49.727436,12.000000,0.785398,51.408974,0.376723
0.580000,Earth,0.000000,0.000000,0.000000,0.817260,0.000000,0.967050

0.590000,Cannon,52.870811,50.205898,12.000000,0.785398,51.519115,0.377648
0.590000,Earth,0.000000,0.000000,0.000000,0.814234,0.000000,0.966008

0.600000,Cannon,53.061207,50.685211,12.000000,0.785398,51.629299,0.378570
0.600000,Earth,0.000000,0.000000,0.000000,0.811246,0.000000,0.964987

0.610000,Cannon,53.252449,51.165371,12.000000,0.785398,51.739529,0.379488
0.610000,Earth,0.000000,0.000000,0.000000,0.808296,0.000000,0.963985

0.620000,Cannon,53.444538,51.646381,12.000000,0.785398,51.849800,0.380401
0.620000,Earth,0.000000,0.000000,0.000000,0.805383,0.000000,0.963003

0.630000,Cannon,53.637478,52.128239,12.000000,0.785398,51.960114,0.381311
0.630000,Earth,0.000000,0.000000,0.000000,0.802507,0.000000,0.962040

0.640000,Cannon,53.831264,52.610947,12.000000,0.785398,52.070473,0.382217
